ID,Size,Predicted,Actual
0,78,0.0,YES
1,87,0.0,NO
2,68,0.0,NO
3,58,0.0,YES
4,196,0.0,NO
5,78,0.0,NO
6,64,0.0,NO
7,173,0.0,NO
8,246,0.0,NO
9,107,0.0,NO
10,110,0.0,YES
11,58,0.0,NO
12,37,0.0,NO
13,142,0.0,YES
14,114,0.0,NO
15,59,0.0,NO
16,64,0.0,NO
17,164,0.01,NO
18,70,0.0,NO
19,32,0.0,NO
20,148,0.0,NO
21,156,0.0,NO
22,119,0.0,NO
23,118,0.0,NO
24,156,0.0,NO
25,85,0.0,NO
26,39,0.0,YES
27,33,0.0,NO
28,81,0.0,NO
29,25,0.0,NO
30,147,0.0,YES
31,94,0.0,NO
32,29,0.0,NO
33,52,0.0,YES
34,43,0.0,NO
35,195,0.0,NO
36,243,0.0,YES
37,28,0.0,NO
38,37,0.0,NO
39,64,0.0,NO
40,28,0.0,NO
41,265,0.0,YES
42,36,0.0,NO
43,51,0.0,NO
44,38,0.0,NO
45,52,0.0,NO
46,37,0.0,NO
47,46,0.0,NO
48,113,0.0,NO
49,36,0.0,NO
50,116,0.0,NO
51,89,0.0,YES
52,50,0.0,NO
53,31,0.0,NO
54,98,0.0,NO
55,26,0.0,NO
56,25,0.0,NO
57,40,0.0,NO
58,59,0.0,NO
59,36,0.0,NO
60,58,0.0,NO
61,37,0.0,NO
62,268,0.0,YES
63,70,0.0,NO
64,72,0.0,NO
65,993,0.0,YES
66,155,0.0,YES
67,35,0.0,YES
68,47,0.0,YES
69,27,0.0,NO
70,301,0.0,YES
71,119,0.0,NO
72,153,0.0,NO
73,51,0.0,NO
74,51,0.0,NO
75,108,0.0,NO
76,46,0.0,NO
77,53,0.0,NO
78,436,0.0,NO
79,382,0.0,NO
80,30,0.0,NO
81,22,0.0,NO
82,91,0.0,YES
83,169,0.0,YES
84,75,0.0,NO
85,93,0.0,NO
86,49,0.0,NO
87,383,0.0,NO
88,59,0.0,NO
89,95,0.0,YES
90,344,0.0,YES
91,443,0.0,YES
92,1127,0.0,YES
93,614,0.0,YES
94,723,0.0,YES
95,402,0.0,YES
96,344,0.0,YES
97,441,0.0,YES
98,981,0.0,YES
99,2032,0.0,YES
100,625,0.0,YES
101,436,0.0,YES
102,335,0.0,YES
103,695,0.0,YES
104,824,0.0,YES
105,441,0.0,YES
106,679,0.0,YES
107,344,0.0,YES
108,479,0.0,YES
109,549,0.0,YES
110,336,0.0,YES
111,13508,0.0,YES
112,344,0.0,YES
113,241,0.0,YES
114,565,0.0,YES
115,433,0.0,YES
116,443,0.0,YES
117,772,0.0,YES
118,443,0.0,YES
119,676,0.0,YES
120,478,0.0,YES
121,356,0.0,YES
122,722,0.0,YES
123,934,0.0,YES
124,61,0.0,YES
125,911,0.0,YES
126,43,0.0,NO
127,61,0.0,NO
128,38,0.0,NO
129,32,0.0,NO
130,32,0.0,NO
131,32,0.0,NO
132,35,0.0,NO
133,30,0.0,NO
134,30,0.0,NO
135,49,0.0,NO
136,59,0.0,NO
137,53,0.0,NO
138,57,0.0,NO
139,350,0.0,YES
140,112,0.0,NO
141,69,0.0,YES
142,136,0.0,NO
143,115,0.0,YES
144,39,0.0,YES
145,52,0.0,NO
146,243,0.0,YES
147,41,0.0,NO
148,44,0.0,YES
149,66,0.0,YES
150,45,0.0,YES
151,72,0.0,NO
152,64,0.0,NO
153,155,0.0,NO
154,34,0.0,NO
155,38,0.0,NO
156,41,0.0,NO
157,23,0.0,NO
158,22,0.0,NO
159,60,0.0,NO
160,24,0.0,NO
161,22,0.0,NO
162,55,0.0,NO
163,45,0.0,NO
164,50,0.0,NO
165,38,0.0,NO
166,31,0.0,NO
167,80,0.0,NO
168,82,0.0,NO
169,179,0.0,YES
170,40,0.0,NO
171,122,0.0,YES
172,51,0.0,NO
173,31,0.0,NO
174,28,0.0,NO
175,25,0.0,NO
176,25,0.0,NO
177,33,0.0,NO
178,435,0.0,YES
179,54,0.0,NO
180,39,0.0,NO
181,40,0.0,NO
182,45,0.0,NO
183,58,0.0,NO
184,110,0.26,NO
185,89,0.0,NO
186,57,0.0,NO
187,89,0.0,NO
188,52,0.0,NO
189,97,0.0,YES
190,47,0.0,NO
191,55,0.0,YES
192,108,0.0,YES
193,160,0.0,YES
194,124,0.0,YES
195,79,0.0,YES
196,79,0.0,YES
197,57,0.0,YES
198,57,0.0,YES
199,110,0.0,NO
200,69,0.0,YES
201,114,0.0,NO
202,89,0.0,NO
203,64,0.0,NO
204,23,0.0,NO
205,40,0.0,NO
206,25,0.0,NO
207,26,0.0,NO
208,59,0.0,NO
209,60,0.0,NO
210,51,0.0,NO
211,58,0.0,NO
212,61,0.0,NO
213,224,0.0,NO
214,32,0.0,NO
215,32,0.0,NO
216,32,0.0,NO
217,32,0.0,NO
218,23,0.0,NO
219,24,0.0,NO
220,105,0.0,YES
221,29,0.0,NO
222,34,0.0,NO
223,28,0.0,NO
224,31,0.0,NO
225,38,0.0,NO
226,32,0.0,NO
227,28,0.0,NO
228,41,0.0,NO
229,130,0.0,YES
230,41,0.0,NO
231,134,0.0,NO
232,29,0.0,NO
233,22,0.0,NO
234,25,0.0,NO
235,24,0.0,NO
236,28,0.0,NO
237,30,0.0,NO
238,198,0.0,NO
239,84,0.0,YES
240,22,0.0,NO
241,31,0.0,NO
242,32,0.0,NO
243,225,0.0,NO
244,230,0.0,YES
245,286,0.0,YES
246,106,0.0,NO
247,25,0.0,NO
248,52,0.0,NO
249,52,0.0,NO
250,72,0.0,NO
251,39,0.0,NO
252,48,0.0,NO
253,42,0.0,NO
254,67,0.0,NO
255,55,0.0,NO
256,57,0.0,NO
257,100,0.0,NO
258,42,0.0,NO
259,179,0.0,NO
260,42,0.0,NO
261,61,0.0,NO
262,24,0.0,NO
263,61,0.0,NO
264,181,0.0,NO
265,38,0.0,NO
266,57,0.0,NO
267,51,0.0,NO
268,60,0.0,NO
269,50,0.0,NO
270,51,0.0,NO
271,186,0.0,NO
272,52,0.0,NO
273,105,0.0,NO
274,63,0.0,NO
275,62,0.0,NO
276,139,0.0,NO
277,76,0.0,NO
278,60,0.0,NO
279,41,0.0,NO
280,31,0.0,NO
281,45,0.0,NO
282,85,0.0,NO
283,37,0.0,NO
284,61,0.0,NO
285,86,0.0,NO
286,34,0.0,NO
287,83,0.0,NO
288,54,0.0,NO
289,67,0.0,NO
290,62,0.0,NO
291,22,0.0,NO
292,29,0.0,NO
293,36,0.0,NO
294,33,0.0,NO
295,26,0.0,NO
296,44,0.0,NO
297,29,0.0,NO
298,29,0.0,NO
299,25,0.0,NO
300,53,0.0,NO
301,32,0.0,NO
302,53,0.0,NO
303,36,0.0,NO
304,22,0.0,NO
305,359,0.0,YES
306,33,0.0,NO
307,25,0.0,NO
308,28,0.0,NO
309,25,0.0,NO
310,25,0.0,NO
311,26,0.0,NO
312,50,0.0,NO
313,24,0.0,NO
314,25,0.0,NO
315,26,0.0,NO
316,31,0.0,NO
317,94,0.0,NO
318,61,0.0,NO
319,96,0.0,NO
320,217,0.0,NO
321,510,0.0,NO
322,56,0.0,NO
323,69,0.0,NO
324,159,0.0,NO
325,142,0.0,NO
326,149,0.0,NO
327,139,0.0,YES
328,100,0.0,NO
329,98,0.0,NO
330,171,0.0,NO
331,351,0.0,NO
332,37,0.0,NO
333,54,0.0,NO
334,44,0.0,NO
335,35,0.0,NO
336,24,0.0,NO
337,84,0.0,YES
338,217,0.0,YES
339,177,0.0,NO
340,59,0.0,NO
341,68,0.0,NO
342,156,0.0,NO
343,90,0.0,YES
344,43,0.0,NO
345,43,0.0,NO
346,38,0.0,NO
347,54,0.0,YES
348,64,0.0,NO
349,124,0.0,NO
350,47,0.0,NO
351,144,0.0,YES
352,58,0.0,NO
353,109,0.0,NO
354,161,0.0,NO
355,113,0.0,YES
356,452,0.0,YES
357,186,0.0,YES
358,51,0.0,NO
359,375,0.0,NO
360,48,0.0,YES
361,30,0.0,NO
362,377,0.0,NO
363,40,0.0,NO
364,813,0.0,NO
365,112,0.0,YES
366,183,0.0,NO
367,32,0.0,NO
368,32,0.0,NO
369,26,0.0,NO
370,174,0.0,NO
371,31,0.0,NO
372,24,0.0,NO
373,34,0.0,NO
374,123,0.0,NO
375,87,0.0,NO
376,26,0.0,NO
377,25,0.0,NO
378,23,0.0,NO
379,23,0.0,NO
380,23,0.0,NO
381,33,0.0,NO
382,32,0.0,NO
383,29,0.0,NO
384,22,0.0,NO
385,25,0.0,NO
386,24,0.0,NO
387,31,0.0,NO
388,31,0.0,NO
389,26,0.0,NO
390,26,0.0,NO
391,26,0.0,NO
392,36,0.0,NO
393,65,0.0,NO
394,41,0.0,NO
395,39,0.0,NO
396,38,0.0,NO
397,31,0.0,NO
398,125,0.0,NO
399,38,0.0,NO
400,48,0.0,NO
401,44,0.0,NO
402,42,0.0,NO
403,46,0.0,NO
404,42,0.0,NO
405,113,0.0,NO
406,53,0.0,NO
407,56,0.0,NO
408,61,0.0,NO
409,49,0.0,NO
410,53,0.0,NO
411,29,0.0,NO
412,48,0.0,NO
413,96,0.0,NO
414,95,0.0,NO
415,51,0.0,NO
416,29,0.0,NO
417,159,0.0,NO
418,53,0.0,NO
419,56,0.0,NO
420,27,0.0,NO
421,95,0.0,NO
422,40,0.0,NO
423,45,0.0,NO
424,61,0.0,NO
425,53,0.0,NO
426,38,0.0,NO
427,64,0.0,NO
428,31,0.0,NO
429,52,0.0,NO
430,29,0.0,NO
431,33,0.0,NO
432,39,0.0,NO
433,218,0.0,NO
434,40,0.0,NO
435,27,0.0,NO
436,84,0.0,NO
437,62,0.0,NO
438,80,0.0,NO
439,59,0.0,NO
440,93,0.0,NO
441,107,0.0,NO
442,73,0.0,NO
443,106,0.0,NO
444,76,0.0,NO
445,92,0.0,NO
446,24,0.0,NO
447,33,0.0,NO
448,31,0.0,NO
449,62,0.0,NO
450,77,0.0,NO
451,25,0.0,NO
452,94,0.0,YES
453,201,0.0,NO
454,171,0.0,NO
455,198,0.0,YES
456,49,0.0,NO
457,38,0.0,NO
458,178,0.0,NO
459,94,0.0,NO
460,138,0.0,NO
461,25,0.0,NO
462,25,0.0,NO
463,36,0.0,NO
464,26,0.0,NO
465,44,0.0,NO
466,52,0.0,NO
467,50,0.0,NO
468,75,0.0,NO
469,28,0.0,NO
470,31,0.0,NO
471,41,0.0,NO
472,26,0.0,NO
473,39,0.0,NO
474,26,0.0,NO
475,30,0.0,NO
476,25,0.0,NO
477,33,0.0,NO
478,44,0.0,NO
479,23,0.0,NO
480,80,0.0,NO
481,79,0.0,NO
482,26,0.0,NO
483,83,0.0,NO
484,92,0.0,NO
485,26,0.0,NO
486,85,0.0,NO
487,67,0.0,NO
488,124,0.0,NO
489,26,0.0,NO
490,25,0.0,NO
491,76,0.0,NO
492,109,0.0,NO
493,24,0.0,NO
494,27,0.0,NO
495,47,0.0,NO
496,185,0.0,NO
497,96,0.0,NO
498,97,0.0,NO
499,23,0.0,NO
500,154,0.0,NO
501,47,0.0,NO
502,176,0.0,NO
503,166,0.0,NO
504,36,0.0,NO
505,32,0.0,NO
506,30,0.0,NO
507,37,0.0,NO
508,33,0.0,NO
509,32,0.0,NO
510,289,0.0,NO
511,66,0.0,NO
512,425,0.0,YES
513,722,0.0,NO
514,147,0.0,NO
515,135,0.0,YES
516,92,0.0,NO
517,44,0.0,NO
518,72,0.0,NO
519,328,0.0,NO
520,61,0.0,NO
521,28,0.0,NO
522,50,0.0,NO
523,35,0.0,NO
524,142,0.0,NO
